type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
Condo,1650000,2,2,1267.0,40.6866098,-73.9997131,Brooklyn,Brooklyn,1302.29
Multi-family,1049000,4,4,2554.0,40.5016233,-74.2417531,Manhattan,Staten Island,410.73
House,998800,3,4,2400.0,40.6175,-74.103996,Manhattan,Staten Island,416.17
Co-op,849000,1,1,2184.207862,40.7802357,-73.9846328,Manhattan,Manhattan,388.7
Co-op,559500,1,1,800.0,40.5751942,-73.9669983,Brooklyn,Brooklyn,699.38
Co-op,750000,1,1,835.0,40.7643711,-73.9593578,Manhattan,Manhattan,898.2
Condo,1900000,2,2,1029.0,40.7193408,-73.9856438,Manhattan,Manhattan,1846.45
Condo,1250000,2,2,1201.0,40.6400234,-73.9676099,Brooklyn,Brooklyn,1040.8
Condo,1395000,2,2,1182.0,40.6787789,-73.9643728,Brooklyn,Brooklyn,1180.2
Co-op,198000,1,1,2184.207862,40.700309,-73.8535466,Queens,Queens,90.65
Multi-family,1489000,6,2,3780.0,40.5395319,-74.1450877,Manhattan,Staten Island,393.92
Townhouse,65000000,3,2,15200.0,40.7765613,-73.9633167,Manhattan,Manhattan,4276.32
Condo,1595000,3,3,1413.0,40.6915139,-73.935444,Manhattan,Brooklyn,1128.8
Condo,655000,3,2,803.0,40.6967268,-73.9074036,Manhattan,Brooklyn,815.69
Condo,1175000,2,2,1115.0,40.6915139,-73.935444,Brooklyn,Brooklyn,1053.81
Multi-family,798000,3,4,2150.0,40.5874844,-74.0701056,Manhattan,Staten Island,371.16
Condo,31000000,3,4,4492.0,40.764953,-73.977568,Manhattan,Manhattan,6901.16
Condo,1650000,2,2,1065.0,40.7833546,-73.9499982,Manhattan,Manhattan,1549.3
Townhouse,12950000,5,4,3344.0,40.7363219,-74.0018035,Manhattan,Manhattan,3872.61
